Ref,Val,Package,PosX,PosY,Rot,Side
"C502","1u","C_0201_0603Metric",200.9418,-147.5297,-135.0000,top
"C503","1u","C_0201_0603Metric",204.4000,-142.7200,90.0000,top
"C504","1u","C_0201_0603Metric",201.5000,-148.1000,-135.0000,top
"C505","10u","C_0201_0603Metric",208.8925,-143.2000,0.0000,top
"C506","100n","C_0201_0603Metric",208.8925,-143.9930,0.0000,top
"C507","100n","C_0201_0603Metric",208.8925,-144.7930,0.0000,top
"C508","10u","C_0201_0603Metric",208.7000,-145.8000,0.0000,bottom
"C509","1u","C_0201_0603Metric",204.7550,-146.0000,180.0000,bottom
"C510","100n","C_0201_0603Metric",208.6000,-146.4000,0.0000,top
"C511","22u","C_0402_1005Metric",208.6000,-147.3000,0.0000,top
"C601","1u","C_0201_0603Metric",204.3000,-154.1250,90.0000,top
"C602","1u","C_0201_0603Metric",205.9750,-154.1250,90.0000,top
"C603","1u","C_0201_0603Metric",205.7250,-157.4250,-90.0000,top
"C604","1u","C_0201_0603Metric",206.4250,-157.4250,-90.0000,top
"C605","2u2","C_0201_0603Metric",205.2750,-154.1250,90.0000,top
"C606","4u7","C_0201_0603Metric",204.2000,-157.4250,-90.0000,top
"C607","4u7","C_0201_0603Metric",204.9000,-157.4250,-90.0000,top
"C608","1u","C_0201_0603Metric",208.1750,-154.5050,90.0000,top
"C609","1u","C_0201_0603Metric",208.5750,-155.6250,0.0000,top
"C610","1u","C_0201_0603Metric",208.5750,-156.3450,0.0000,top
"C611","100n","C_0201_0603Metric",209.9800,-154.7000,180.0000,bottom
"D501","VEMD8082","VEMD808x",202.2000,-150.0000,-90.0000,bottom
"D502","VEMD8082","VEMD808x",207.8000,-150.0000,-90.0000,bottom
"FB601","FerriteBead","L_0402_1005Metric",202.1250,-154.8750,180.0000,top
"FB602","FerriteBead","L_0402_1005Metric",202.1250,-155.8750,180.0000,top
"IC501","MAX32664","MAX32664GTG",202.6530,-145.1114,-45.0000,top
"IC502","LIS2DS12","LGA-12_2x2mm_P0.5mm",206.8625,-143.9500,0.0000,top
"IC503","MAX86141","THIN-WLP-20_2.228x1.967mm_P0.4mm",206.8000,-146.1000,180.0000,bottom
"IC601","DA7212-01UM2","WLCSP-34",205.5250,-155.8350,180.0000,top
"LED501","SFH7016","SFH7016",205.0000,-150.0000,0.0000,bottom
"R502","4k7","L_0201_0603Metric",208.6000,-145.6750,180.0000,top
"R601","0R","R_0201_0603Metric",209.9800,-155.5000,180.0000,bottom
"X701","MB2","101P014FB110",198.8000,-150.0000,90.0000,top
"X702","MB1","101P014FB110",210.3000,-150.6000,-90.0000,top
"Y501","32kHz","ECS_ECX-1210",199.5000,-146.1000,-135.0000,top
