Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,manf,manf#,mouser#
1,4,C506 C507 C510 C611,100n,https://datasheets.kyocera-avx.com/cx5r-KGM.pdf,C_0201_0603Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,0201ZD104KAT2A,581-0201ZD104KAT2A
2,11,C502 C503 C504 C509 C601 C602 C603 C604 C608 C609 C610,1u,https://datasheets.kyocera-avx.com/x6s-dielectric.pdf,C_0201_0603Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,02016W105MAT2A,581-02016W105MAT2A
3,1,C605,2u2,https://datasheets.kyocera-avx.com/cx5r-KGM.pdf,C_0201_0603Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,0201ZD225MAT2A,581-0201ZD225MAT2A
4,2,C606 C607,4u7,https://www.mouser.de/datasheet/3/76/2/GRM035R60J475ME15_01A.pdf,C_0201_0603Metric,"Unpolarized capacitor, small symbol",Murata,GRM035R60J475ME15D,81-GRM035R60J475ME5D
5,2,C505 C508,10u,https://datasheets.kyocera-avx.com/cx5r-KGM.pdf,C_0201_0603Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,KGM03DR50G106MH,581-KGM03DR50G106MH
6,1,C511,22u,https://datasheets.kyocera-avx.com/cx5r-KGM.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,04026D226MAT2A,581-04026D226MAT2A
7,2,D501 D502,VEMD8082,https://www.vishay.com/docs/80381/vemd8082.pdf,VEMD808x,Photodiode,Vishay Semiconductors,VEMD8082,78-VEMD8082
8,2,FB601 FB602,FerriteBead,https://www.mouser.de/datasheet/3/76/1/ENFA0018.pdf,L_0402_1005Metric,Ferrite bead,Murata,BLM15PD121SN1D,81-BLM15PD121SN1D
9,1,IC601,DA7212-01UM2,https://www.renesas.com/en/document/dst/da7212-datasheet?r=1563326,WLCSP-34,,Renesas / Dialog,DA7212-01UM2,724-DA7212-01UM2
10,1,IC502,LIS2DS12,https://www.st.com/resource/en/datasheet/lis2ds12.pdf,LGA-12_2x2mm_P0.5mm,,STMicroelectronics,LIS2DS12,511-LIS2DS12
11,1,IC501,MAX32664,https://www.analog.com/media/en/technical-documentation/data-sheets/MAX32664.pdf,MAX32664GTG,,Analog Devices / Maxim Integrated,MAX32664GTGC+,700-MAX32664GTGC+
12,1,IC503,MAX86141,https://www.analog.com/media/en/technical-documentation/data-sheets/max86140-max86141.pdf,THIN-WLP-20_2.228x1.967mm_P0.4mm,,Analog Devices / Maxim Integrated,MAX86141ENP+T,700-MAX86141ENP+T
13,1,LED501,SFH7016,https://look.ams-osram.com/m/1a73f8d425cfcc40/original/SFH-7016.pdf,SFH7016,,ams OSRAM,SFH 7016,720-SFH7016
14,1,R601,0R,https://www.mouser.de/datasheet/3/508/1/PYu-RC_Group_51_RoHS_L_12.pdf,R_0201_0603Metric,"Resistor, small symbol",YAGEO,603-RC0201FR-SNE96L,RC0201FR-SNE96L
15,1,R502,4k7,https://www.vishay.com/doc?20052,L_0201_0603Metric,"Resistor, small symbol",Vishay,CRCW020147K5FNED,71-CRCW020147K5FNED
16,2,X701 X702,MB2,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/101p014fb110.pdf,101P014FB110,"Generic connector, double row, 02x07, top/bottom pin numbering scheme (row 1: 1...pins_per_row, row2: pins_per_row+1 ... num_pins), script generated (kicad-library-utils/schlib/autogen/connector/)",Amphenol Aorora,101P014FB110,649-101P014FB110
17,1,Y501,32kHz,https://www.mouser.de/datasheet/3/294/1/ECX-1210.pdf,ECS_ECX-1210,Two pin crystal,ECS,ECS-.327-6-1210-TR,520-.327-6-1210-TR
